Temperature,Humidity,Light,CO2,HumidityRatio,class
23.18,27.272,426.0,721.25,0.0047929881765052,0
23.15,27.2675,429.5,714.0,0.0047834409493106,0
23.15,27.245,426.0,713.5,0.0047794635244219,0
23.15,27.2,426.0,708.25,0.0047715088260817,0
23.1,27.2,426.0,704.5,0.0047569929333151,0
23.1,27.2,419.0,701.0,0.0047569929333151,0
23.1,27.2,419.0,701.666666666667,0.0047569929333151,0
23.1,27.2,419.0,699.0,0.0047569929333151,0
23.1,27.2,419.0,689.333333333333,0.0047569929333151,0
23.075,27.175,419.0,688.0,0.0047453507196665,0
23.075,27.15,419.0,690.25,0.0047409518969426,0
23.1,27.1,419.0,691.0,0.0047393707305206,0
23.1,27.1666666666667,419.0,683.5,0.0047511187556095,0
23.05,27.15,419.0,687.5,0.0047337317970825,0
23.0,27.125,419.0,686.0,0.0047149421459047,0
23.0,27.125,418.5,680.5,0.0047149421459047,0
23.0,27.2,0.0,681.5,0.0047280779496687,1
22.945,27.29,0.0,685.0,0.0047279513717807,1
22.945,27.39,0.0,685.0,0.0047454083970941,1
22.89,27.39,0.0,689.0,0.00472950615591,1
22.89,27.39,0.0,689.5,0.00472950615591,1
22.89,27.39,0.0,689.0,0.00472950615591,1
22.89,27.445,0.0,691.0,0.0047390755147466,1
22.89,27.5,0.0,688.0,0.0047486451658114,1
22.89,27.5,0.0,689.5,0.0047486451658114,1
22.79,27.445,0.0,689.0,0.0047102240468062,1
22.79,27.5,0.0,685.666666666667,0.0047197349991495,1
22.79,27.5,0.0,687.0,0.0047197349991495,1
22.79,27.5,0.0,688.0,0.0047197349991495,1
22.745,27.5,0.0,670.0,0.0047067761580489,1
22.7,27.4633333333333,0.0,668.666666666667,0.0046875430838439,1
22.7,27.5,0.0,670.0,0.0046938487141081,1
22.7,27.5,0.0,667.0,0.0046938487141081,1
22.6666666666667,27.4266666666667,0.0,664.5,0.0046717077646175,1
22.7,27.6,0.0,670.0,0.0047110465325231,1
22.6,27.4266666666667,0.0,670.333333333333,0.0046526994586977,1
22.6,27.39,0.0,672.0,0.0046464328065348,1
22.6,27.3566666666667,0.0,658.0,0.0046407359587843,1
22.6,27.445,0.0,660.5,0.0046558328317807,1
22.6,27.4266666666667,0.0,658.0,0.0046526994586977,1
22.6,27.445,0.0,655.0,0.0046558328317807,1
22.6,27.445,0.0,654.25,0.0046558328317807,1
22.6,27.39,0.0,648.0,0.0046464328065348,1
22.5,27.3233333333333,0.0,648.666666666667,0.0046067632029783,1
22.5,27.445,0.0,646.0,0.004627429032145,1
22.5,27.5,0.0,646.0,0.0046367715666975,1
