V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,class
2.34,48998.0,12.2,1.91,50944.0,0.157,72.8,85.0,4.65,8.7,50.2,v1,0.532,76.2,6621.0,797.0,0.642,4.93,0.37,518.0,28.0,0.3,1.39,86.2,8.24,0.78,0.355,0.62,9.62,0.32,v1,60.4,0.39,64.1,55.3,0.72,58773.0,6.72,0.717,v1,1
3.34,46797.0,39.6,2.41,54695.0,0.323,78.6,87.0,4.55,3.9,52.9,v2,0.596,84.5,6401.0,770.0,0.618,4.77,0.66,271.0,29.3,0.18,3.62,77.6,7.43,0.218,0.451,0.79,9.13,0.28,v2,62.0,0.58,18.8,63.4,0.34,43116.0,7.04,0.789,v1,0
3.79,56480.0,37.5,1.04,24303.0,0.158,76.0,94.0,4.23,5.6,50.2,v1,0.856,80.7,4330.0,791.0,0.741,6.21,0.41,774.0,26.3,0.47,0.64,92.4,7.04,0.659,0.442,0.78,9.74,0.43,v2,49.3,0.38,51.6,71.6,0.52,49502.0,7.97,0.74,v1,0
3.34,53049.0,25.6,1.85,22969.0,0.463,76.6,93.0,4.66,9.0,51.8,v2,0.671,74.6,7407.0,747.0,0.809,6.2,0.64,289.0,26.4,0.33,3.38,91.3,6.69,0.198,0.325,0.86,9.15,0.26,v1,55.0,0.39,33.0,70.3,0.83,17691.0,7.32,0.783,v1,1
3.5,55255.0,30.0,1.85,30353.0,0.292,71.8,60.0,4.68,9.4,51.4,v2,0.672,75.6,7088.0,763.0,0.373,5.33,0.39,724.0,25.1,0.15,2.1,74.9,7.04,0.155,0.623,0.52,9.1,0.62,v1,60.0,0.36,64.7,70.6,0.89,58023.0,7.07,0.733,v1,1
1.78,54887.0,33.7,1.95,19056.0,0.498,71.7,67.0,4.27,9.0,52.0,v2,0.656,75.2,7070.0,746.0,0.452,5.63,0.36,787.0,24.9,0.23,1.15,97.3,6.76,0.71,0.617,0.95,9.13,0.62,v2,62.2,0.48,67.2,67.1,0.52,16829.0,7.32,0.82,v1,0
3.44,54621.0,37.2,1.98,79416.0,0.495,72.9,69.0,4.39,8.3,50.3,v2,0.864,66.6,4993.0,762.0,0.632,5.95,0.49,820.0,23.9,0.47,3.48,92.8,6.98,0.779,0.504,0.44,9.03,0.62,v1,61.7,0.45,71.1,56.1,0.88,28210.0,7.55,0.811,v2,0
1.75,53575.0,50.8,2.73,92309.0,0.17,72.6,69.0,4.65,7.3,52.9,v2,0.648,96.2,6786.0,743.0,0.732,6.14,0.15,664.0,25.4,0.23,2.65,98.4,6.73,0.639,0.353,0.96,8.96,0.36,v2,60.0,0.44,70.6,64.2,0.76,17499.0,6.58,0.714,v2,0
3.76,52783.0,11.6,2.11,76557.0,0.17,79.2,68.0,4.56,9.5,50.2,v1,0.665,81.0,6612.0,753.0,0.318,6.1,0.55,606.0,27.4,0.27,1.02,83.9,8.0,0.145,0.602,0.44,9.03,0.29,v2,58.5,0.37,88.9,70.4,0.31,53868.0,7.59,0.729,v3,0
2.61,51880.0,31.9,3.0,80225.0,0.158,76.5,87.0,4.52,9.4,52.1,v1,0.694,38.2,6924.0,748.0,0.249,3.29,0.17,810.0,24.0,0.47,1.25,92.2,6.99,0.104,0.604,0.54,9.89,0.45,v1,49.9,0.47,18.5,63.9,0.34,51940.0,6.51,0.816,v2,0
2.06,53285.0,47.5,1.85,24243.0,0.149,78.1,74.0,4.48,9.4,52.6,v2,0.864,82.1,4914.0,807.0,0.237,6.34,0.43,760.0,32.0,0.18,0.4,80.2,7.06,0.199,0.34,0.88,9.34,0.26,v2,58.4,0.42,59.8,70.3,0.58,23267.0,7.62,0.745,v3,0
3.78,46128.0,49.9,0.65,58051.0,0.316,78.2,88.0,4.37,8.8,50.2,v2,0.65,81.6,7025.0,805.0,0.614,6.02,0.57,606.0,26.0,0.42,0.38,90.5,8.13,0.174,0.597,0.9,9.04,0.25,v2,58.5,0.44,59.1,60.9,0.37,51972.0,7.7,0.761,v3,0
2.64,46132.0,35.4,2.57,58746.0,0.152,74.2,62.0,4.68,3.7,50.2,v1,0.698,72.3,4390.0,742.0,0.25,3.21,0.48,813.0,26.2,0.38,0.67,89.5,6.93,0.187,0.343,0.46,9.04,0.61,v1,51.9,0.6,60.7,70.6,0.63,57046.0,6.6,0.835,v1,0
3.77,46307.0,28.3,2.04,64091.0,0.169,74.6,94.0,4.61,4.8,51.4,v2,0.644,81.8,5074.0,789.0,0.488,4.01,0.47,565.0,24.9,0.3,3.38,79.3,8.2,0.273,0.458,0.51,8.35,0.47,v2,60.6,0.42,65.0,71.0,0.89,15043.0,7.07,0.742,v1,0
