V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,class
1.89,3240.0,0.14,0.0,v1,v1,7239.0,v1,1.0,v1,1.98,0.0,0
5.55,3608.0,0.5,2.0,v2,v1,7164.0,v2,0.0,v1,1.86,2.0,0
6.36,3388.0,0.13,2.0,v1,v1,4498.0,v1,2.0,v1,2.03,1.0,0
4.23,3137.0,0.44,2.0,v1,v2,7160.0,v3,1.0,v3,1.18,2.0,0
6.1,3473.0,0.4,2.0,v2,v2,4586.0,v1,1.0,v3,0.58,1.0,0
1.63,3142.0,0.52,1.0,v1,v1,4507.0,v2,0.0,v1,1.16,0.0,0
5.6,3141.0,0.66,1.0,v1,v2,7237.0,v1,0.0,v3,0.58,1.0,0
8.28,3251.0,0.13,0.0,v2,v2,7326.0,v2,2.0,v3,1.14,1.0,0
1.47,3551.0,0.32,0.0,v1,v1,4420.0,v3,0.0,v2,2.05,1.0,0
6.66,3073.0,0.44,1.0,v2,v1,6629.0,v1,1.0,v1,1.67,0.0,0
6.43,3138.0,0.44,1.0,v1,v1,3263.0,v1,2.0,v1,0.81,2.0,0
5.89,3517.0,0.26,0.0,v1,v1,4125.0,v1,2.0,v1,0.57,0.0,0
6.04,3539.0,0.51,1.0,v1,v1,7328.0,v1,1.0,v1,1.16,0.0,0
2.8,3515.0,0.4,1.0,v2,v1,7326.0,v2,0.0,v1,1.29,0.0,0
8.28,3151.0,0.64,2.0,v1,v1,4575.0,v1,1.0,v1,0.57,2.0,0
7.93,3138.0,0.46,2.0,v2,v1,4518.0,v3,2.0,v1,1.05,1.0,0
5.51,3473.0,0.3,2.0,v1,v1,6165.0,v3,1.0,v1,0.56,1.0,0
8.24,3140.0,0.5,1.0,v2,v1,7335.0,v2,2.0,v1,1.02,0.0,0
5.43,3076.0,0.48,1.0,v2,v2,6924.0,v2,0.0,v3,0.57,2.0,0
2.73,3386.0,0.4,0.0,v1,v1,5387.0,v3,1.0,v1,1.67,2.0,0
1.6,3124.0,0.24,1.0,v1,v1,3607.0,v3,0.0,v1,1.23,2.0,0
5.68,3148.0,0.53,2.0,v1,v2,4645.0,v1,2.0,v3,1.97,2.0,0
8.23,3139.0,0.4,1.0,v1,v1,4394.0,v1,1.0,v1,1.22,0.0,0
4.36,3420.0,0.65,0.0,v2,v2,3767.0,v3,0.0,v2,1.71,1.0,0
7.0,3567.0,0.62,0.0,v2,v2,4432.0,v2,2.0,v3,1.2,0.0,0
1.78,3221.0,0.52,0.0,v2,v1,3038.0,v1,0.0,v1,1.89,2.0,0
7.57,3130.0,0.42,1.0,v1,v1,4509.0,v3,1.0,v1,1.92,0.0,0
5.44,3150.0,0.31,2.0,v2,v1,3026.0,v2,1.0,v1,1.72,1.0,0
7.1,3447.0,0.47,1.0,v2,v1,7348.0,v3,0.0,v1,1.68,0.0,0
7.22,3465.0,0.52,2.0,v1,v1,6270.0,v1,2.0,v1,1.04,1.0,0
6.52,3164.0,0.4,0.0,v1,v1,4538.0,v1,0.0,v1,1.78,1.0,0
5.87,3090.0,0.54,2.0,v1,v1,3159.0,v1,2.0,v2,0.83,2.0,0
1.46,3146.0,0.44,2.0,v2,v1,4486.0,v2,1.0,v1,0.6,1.0,0
6.75,3213.0,0.53,1.0,v2,v1,3355.0,v3,0.0,v1,1.83,1.0,0
8.36,3122.0,0.4,1.0,v1,v2,6988.0,v3,0.0,v3,0.57,0.0,0
6.76,3608.0,0.13,0.0,v2,v1,3093.0,v1,2.0,v1,0.6,0.0,0
6.71,3406.0,0.5,2.0,v2,v1,4563.0,v3,2.0,v1,1.79,1.0,0
6.08,3105.0,0.47,2.0,v1,v1,3192.0,v1,0.0,v1,1.35,2.0,0
7.25,3125.0,0.41,2.0,v1,v1,6144.0,v1,0.0,v1,1.57,2.0,0
6.49,3324.0,0.27,0.0,v2,v1,4474.0,v2,2.0,v1,0.93,1.0,0
2.19,3599.0,0.44,2.0,v1,v1,5121.0,v2,1.0,v1,1.27,1.0,0
5.57,3554.0,0.37,1.0,v1,v1,6447.0,v3,1.0,v1,0.57,2.0,0
3.26,3117.0,0.13,1.0,v2,v1,5909.0,v3,2.0,v1,1.83,1.0,0
7.65,3119.0,0.53,2.0,v1,v1,4748.0,v1,1.0,v1,0.59,2.0,0
5.54,3143.0,0.45,1.0,v2,v1,4552.0,v3,0.0,v1,1.65,1.0,0
5.74,3115.0,0.65,2.0,v2,v2,3611.0,v3,1.0,v3,1.73,0.0,0
1.82,3553.0,0.42,2.0,v2,v1,4556.0,v3,1.0,v1,1.61,1.0,0
1.58,3522.0,0.13,0.0,v1,v1,4549.0,v3,2.0,v1,1.79,1.0,0
5.74,3505.0,0.4,0.0,v1,v1,6098.0,v1,0.0,v1,1.88,1.0,0
7.65,3168.0,0.13,1.0,v2,v1,3979.0,v2,1.0,v1,0.55,1.0,0
6.38,3125.0,0.66,2.0,v2,v1,4559.0,v3,1.0,v1,0.68,1.0,0
6.12,3132.0,0.13,2.0,v1,v2,7337.0,v2,2.0,v2,1.69,0.0,0
1.47,3613.0,0.52,1.0,v1,v1,4507.0,v3,0.0,v1,1.86,0.0,0
1.55,3466.0,0.62,0.0,v1,v1,4522.0,v2,1.0,v1,0.82,1.0,0
6.9,3132.0,0.18,1.0,v2,v1,4079.0,v1,2.0,v1,1.5,1.0,0
8.26,3133.0,0.47,2.0,v2,v1,3605.0,v2,2.0,v1,1.36,0.0,0
1.47,3487.0,0.63,2.0,v1,v1,4502.0,v3,2.0,v2,1.06,0.0,0
5.58,3242.0,0.14,0.0,v2,v1,4616.0,v1,0.0,v2,0.98,1.0,0
5.66,3425.0,0.14,0.0,v2,v1,3981.0,v2,0.0,v1,1.94,2.0,0
1.97,3147.0,0.52,2.0,v2,v1,3178.0,v3,2.0,v1,1.87,2.0,0
5.83,3389.0,0.45,1.0,v2,v1,3093.0,v3,1.0,v1,0.57,2.0,0
6.8,3423.0,0.44,1.0,v2,v1,2996.0,v1,2.0,v1,0.58,2.0,0
5.72,3318.0,0.48,0.0,v1,v1,7336.0,v3,2.0,v2,0.58,0.0,0
7.82,3485.0,0.66,2.0,v1,v1,4472.0,v1,1.0,v1,1.98,1.0,0
8.21,3249.0,0.34,0.0,v2,v1,3192.0,v2,0.0,v1,1.63,0.0,0
6.9,3223.0,0.6,0.0,v2,v2,4539.0,v2,2.0,v2,1.97,1.0,0
7.22,3431.0,0.36,0.0,v2,v1,3497.0,v1,0.0,v1,0.57,1.0,0
1.45,3131.0,0.48,2.0,v2,v1,6154.0,v2,0.0,v1,0.6,0.0,0
2.17,3571.0,0.28,2.0,v1,v1,4005.0,v1,0.0,v1,1.17,0.0,0
6.36,3549.0,0.51,0.0,v1,v1,4538.0,v2,0.0,v1,1.69,0.0,0
7.9,3531.0,0.28,0.0,v2,v2,6760.0,v3,1.0,v3,1.73,2.0,0
5.59,3473.0,0.13,2.0,v1,v1,4565.0,v3,1.0,v1,1.08,1.0,0
7.15,3140.0,0.4,2.0,v2,v1,7270.0,v3,2.0,v1,1.98,1.0,0
1.44,3142.0,0.55,2.0,v2,v1,3359.0,v3,2.0,v1,0.91,2.0,0
1.71,3450.0,0.49,0.0,v1,v1,5206.0,v2,1.0,v1,1.31,2.0,0
5.53,3489.0,0.52,2.0,v2,v2,7272.0,v3,2.0,v3,1.65,2.0,0
5.93,3479.0,0.56,0.0,v1,v1,7306.0,v1,0.0,v1,0.55,1.0,0
5.5,3146.0,0.13,1.0,v2,v2,5528.0,v1,0.0,v3,1.96,0.0,0
2.03,3548.0,0.52,1.0,v2,v1,4307.0,v3,2.0,v1,1.2,1.0,0
5.88,3263.0,0.13,0.0,v1,v1,3361.0,v2,2.0,v1,0.87,2.0,0
8.34,3118.0,0.49,2.0,v2,v1,4535.0,v2,2.0,v1,0.68,2.0,0
1.61,3128.0,0.45,2.0,v2,v1,5291.0,v3,2.0,v1,0.88,1.0,0
7.67,3423.0,0.15,0.0,v2,v2,3318.0,v3,1.0,v3,0.86,0.0,0
