V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,class
5.23,3483.0,0.13,2.0,v2,v1,7159.0,v3,1.0,v1,1.37,2.0,0
5.74,3123.0,0.62,2.0,v1,v1,4642.0,v2,1.0,v1,1.98,2.0,1
5.68,3096.0,0.52,1.0,v1,v1,4519.0,v3,2.0,v2,0.56,0.0,1
2.95,3076.0,0.43,2.0,v1,v1,4574.0,v2,0.0,v1,1.86,1.0,0
7.47,3126.0,0.14,2.0,v2,v2,3285.0,v2,1.0,v2,2.01,2.0,1
5.98,3140.0,0.42,1.0,v2,v2,4684.0,v2,1.0,v3,1.17,0.0,0
5.46,3136.0,0.46,1.0,v1,v1,3814.0,v2,1.0,v1,1.87,1.0,0
1.54,3134.0,0.13,1.0,v1,v2,5502.0,v3,1.0,v3,1.99,1.0,0
1.84,3551.0,0.59,1.0,v2,v1,4552.0,v3,2.0,v1,1.9,1.0,0
8.29,3493.0,0.44,0.0,v2,v1,6196.0,v2,1.0,v1,1.95,2.0,0
6.19,3488.0,0.44,0.0,v1,v1,7183.0,v1,0.0,v1,0.95,1.0,1
5.51,3141.0,0.44,2.0,v1,v1,7187.0,v1,1.0,v1,0.59,0.0,1
7.32,3135.0,0.14,1.0,v1,v1,7230.0,v1,2.0,v1,1.6,2.0,0
1.83,3469.0,0.53,2.0,v1,v1,4318.0,v3,0.0,v1,2.01,1.0,0
7.02,3117.0,0.51,1.0,v2,v1,4577.0,v3,0.0,v1,1.21,0.0,0
2.13,3506.0,0.61,1.0,v1,v1,5560.0,v1,2.0,v1,0.57,1.0,0
6.13,3076.0,0.27,1.0,v2,v2,4416.0,v3,2.0,v2,1.06,0.0,1
1.58,3178.0,0.21,1.0,v1,v2,4586.0,v2,1.0,v3,0.59,1.0,1
7.26,3511.0,0.32,0.0,v1,v1,5602.0,v2,0.0,v1,1.83,1.0,0
6.22,3133.0,0.47,2.0,v2,v1,3738.0,v3,2.0,v1,1.65,1.0,1
6.23,3467.0,0.47,0.0,v1,v1,6588.0,v1,2.0,v1,1.94,2.0,0
1.49,3551.0,0.41,0.0,v2,v1,7325.0,v1,0.0,v1,1.08,1.0,0
7.48,3288.0,0.51,0.0,v2,v1,3098.0,v3,1.0,v1,1.2,1.0,0
5.67,3123.0,0.51,1.0,v2,v1,3759.0,v3,2.0,v3,1.08,1.0,0
2.05,3145.0,0.49,1.0,v2,v1,5822.0,v1,1.0,v1,1.13,0.0,1
6.54,3122.0,0.53,1.0,v1,v1,7228.0,v1,1.0,v1,1.53,1.0,0
1.66,3076.0,0.24,0.0,v1,v1,7290.0,v1,1.0,v1,1.19,1.0,0
6.81,3132.0,0.4,2.0,v2,v1,3937.0,v2,0.0,v1,0.73,1.0,1
2.46,3121.0,0.46,2.0,v2,v2,4584.0,v1,0.0,v2,0.55,2.0,0
1.64,3147.0,0.43,1.0,v1,v1,4551.0,v2,2.0,v1,1.45,1.0,0
1.55,3582.0,0.31,1.0,v2,v1,4518.0,v3,0.0,v1,1.73,2.0,0
6.42,3599.0,0.62,1.0,v1,v1,3586.0,v1,0.0,v1,1.06,0.0,0
6.04,3117.0,0.19,2.0,v2,v1,4569.0,v2,1.0,v1,0.6,1.0,0
6.3,3130.0,0.24,1.0,v1,v1,3417.0,v3,2.0,v1,0.88,0.0,0
1.41,3198.0,0.49,0.0,v2,v1,7298.0,v1,1.0,v1,1.88,0.0,0
6.49,3097.0,0.54,0.0,v1,v1,4165.0,v1,0.0,v1,0.6,1.0,1
4.49,3115.0,0.13,2.0,v1,v1,7318.0,v1,1.0,v1,0.56,0.0,1
1.48,3137.0,0.64,1.0,v1,v1,5267.0,v3,2.0,v1,2.0,1.0,1
4.13,3146.0,0.5,2.0,v2,v1,5128.0,v1,2.0,v1,1.27,1.0,1
6.97,3462.0,0.21,2.0,v2,v1,3813.0,v1,1.0,v1,1.77,1.0,1
7.89,3180.0,0.29,0.0,v2,v1,4560.0,v3,1.0,v1,1.63,1.0,0
1.87,3118.0,0.62,1.0,v1,v1,4568.0,v1,0.0,v1,1.56,1.0,0
1.45,3317.0,0.44,0.0,v2,v1,5480.0,v3,2.0,v1,0.56,1.0,0
8.0,3423.0,0.53,0.0,v2,v1,4570.0,v3,2.0,v1,0.84,1.0,0
5.89,3488.0,0.51,0.0,v2,v1,3240.0,v3,1.0,v1,1.8,1.0,1
4.49,3598.0,0.6,0.0,v1,v1,7307.0,v2,0.0,v1,1.88,1.0,0
1.55,3488.0,0.49,2.0,v2,v1,4523.0,v3,0.0,v1,1.33,1.0,1
5.48,3441.0,0.16,1.0,v2,v1,3043.0,v2,1.0,v1,1.77,1.0,0
4.57,3478.0,0.13,2.0,v2,v1,4566.0,v2,2.0,v3,1.16,1.0,0
6.52,3521.0,0.51,2.0,v2,v2,7295.0,v2,2.0,v3,0.69,0.0,1
